2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Show Me the Meaning of Being Lonely - Backstreet Boys,Family Affair - Mary J. Blige,Heaven - DJ Sammy featuring Yanou and Do,How You Gonna Act Like That - Tyrese,Overnight Celebrity - Twista,Rich Girl - Gwen Stefani featuring Eve,Everytime We Touch - Cascada,Beautiful Girls - Sean Kingston,See You Again - Miley Cyrus,Run This Town - Jay-Z featuring Rihanna and Kanye West,Say Aah - Trey Songz featuring Fabolous,Black and Yellow - Wiz Khalifa,Part of Me - Katy Perry,The Way - Ariana Grande featuring Mac Miller,Best Day of My Life - American Authors,"Hey Mama - David Guetta featuring Nicki Minaj, Bebe Rexha and Afrojack",What Do You Mean? - Justin Bieber,1-800-273-8255 - Logic featuring Alessia Cara and Khalid,Fefe - 6ix9ine featuring Nicki Minaj and Murda Beatz,Zeze - Kodak Black featuring Travis Scott and Offset,Good as Hell - Lizzo,Heartbreak Anniversary - Giveon,Good 4 U - Olivia Rodrigo,FukUMean - Gunna,Thinkin' Bout Me - Morgan Wallen
"Hot Boyz - Missy Elliott featuring Nas, Eve and Q-Tip",I Hope You Dance - Lee Ann Womack,Hey Baby - No Doubt featuring Bounty Killer,Rock Your Body - Justin Timberlake,Hotel - Cassidy featuring R. Kelly,My Humps - The Black Eyed Peas,Ain't No Other Man - Christina Aguilera,"This Ain't a Scene, It's an Arms Race - Fall Out Boy",Shake It - Metro Station,Let It Rock - Kevin Rudolf featuring Lil Wayne,Find Your Love - Drake,Tonight Tonight - Hot Chelle Rae,"Young, Wild & Free - Snoop Dogg and Wiz Khalifa featuring Bruno Mars",Started from the Bottom - Drake,Habits (Stay High) - Tove Lo,G.D.F.R. - Flo Rida featuring Sage the Gemini and Lookas,The Hills - The Weeknd,Slow Hands - Niall Horan,Tequila - Dan + Shay,Better Now - Post Malone,Toosie Slide - Drake,For the Night - Pop Smoke featuring Lil Baby and DaBaby,Numb Little Bug - Em Beihold,Lavender Haze - Taylor Swift,Texas Hold 'Em - Beyoncé
Back Here - BBMak,South Side - Moby featuring Gwen Stefani,Girlfriend - NSYNC featuring Nelly,No Letting Go - Wayne Wonder,Numb - Linkin Park,Obsession (No Es Amor) - Frankie J featuring Baby Bash,"Dance, Dance - Fall Out Boy",Bartender - T-Pain featuring Akon,Stop and Stare - OneRepublic,Fire Burning - Sean Kingston,Alejandro - Lady Gaga,Blow - Kesha,We Are Never Ever Getting Back Together - Taylor Swift,Come & Get It - Selena Gomez,Summer - Calvin Harris,What Do You Mean? - Justin Bieber,Just Like Fire - P!nk,Love on the Brain - Rihanna,Feel It Still - Portugal. The Man,Youngblood - 5 Seconds of Summer,Break My Heart - Dua Lipa,Calling My Phone - Lil Tjay and 6lack,Jimmy Cooks - Drake featuring 21 Savage,Players - Coi Leray,Is It Over Now? - Taylor Swift
It Feels So Good - Sonique,Don't Tell Me - Madonna,Just a Friend 2002 - Mario,Frontin' - Pharrell featuring Jay-Z,Diary - Alicia Keys featuring Tony! Toni! Toné!,Caught Up - Usher,Gold Digger - Kanye West featuring Jamie Foxx,"Pop, Lock & Drop It - Huey",Take You There - Sean Kingston,Whatcha Say - Jason Derulo,Ridin' Solo - Jason Derulo,Lighters - Bad Meets Evil featuring Bruno Mars,As Long as You Love Me - Justin Bieber featuring Big Sean,"Hold On, We're Going Home - Drake featuring Majid Jordan",Boom Clap - Charli XCX,Photograph - Ed Sheeran,Broccoli - DRAM featuring Lil Yachty,I Feel It Coming - The Weeknd featuring Daft Punk,"MotorSport - Migos, Nicki Minaj and Cardi B",Money in the Grave - Drake featuring Rick Ross,Chasin' You - Morgan Wallen,Beautiful Mistakes - Maroon 5 featuring Megan Thee Stallion,Til You Can't - Cody Johnson,Need a Favor - Jelly Roll,Miles on It - Marshmello and Kane Brown
Absolutely (Story of a Girl) - Nine Days,Get Ur Freak On - Missy Elliott,Soak Up the Sun - Sheryl Crow,Landslide - Dixie Chicks,She Will Be Loved - Maroon 5,Listen to Your Heart - DHT featuring Edmee,Money Maker - Ludacris featuring Pharrell,Runaway Love - Ludacris featuring Mary J. Blige,Paper Planes - M.I.A.,LoveGame - Lady Gaga,Just a Dream - Nelly,If I Die Young - The Band Perry,Turn Me On - David Guetta featuring Nicki Minaj,Daylight - Maroon 5,Drunk in Love - Beyoncé featuring Jay-Z,Hello - Adele,Don't - Bryson Tiller,Bounce Back - Big Sean,I Like Me Better - Lauv,Speechless - Dan + Shay,Savage Love (Laxed – Siren Beat) - Jawsh 685 and Jason Derulo,Holy - Justin Bieber featuring Chance the Rapper,Fancy Like - Walker Hayes,Dance the Night - Dua Lipa,I Can Do It with a Broken Heart - Taylor Swift
With Arms Wide Open - Creed,Crazy - K-Ci & JoJo,Don't Let Me Get Me - Pink,Work It - Missy Elliott,White Flag - Dido,Scars - Papa Roach,Ms. New Booty - Bubba Sparxxx featuring Ying Yang Twins,Rockstar - Nickelback,Hot n Cold - Katy Perry,Waking Up in Vegas - Katy Perry,How Low - Ludacris,Stereo Hearts - Gym Class Heroes featuring Adam Levine,Moves like Jagger - Maroon 5 featuring Christina Aguilera,Feel This Moment - Pitbull featuring Christina Aguilera,Anaconda - Nicki Minaj,Stitches - Shawn Mendes,Dangerous Woman - Ariana Grande,Strip That Down - Liam Payne featuring Quavo,Youngblood - 5 Seconds of Summer,"Break Up with Your Girlfriend, I'm Bored - Ariana Grande",No Guidance - Chris Brown featuring Drake,On Me - Lil Baby,The Kind of Love We Make - Luke Combs,Love You Anyway - Luke Combs,Wild Ones - Jessie Murph and Jelly Roll
Be with You - Enrique Iglesias,Fill Me In - Craig David,Nothin' - N.O.R.E.,03 Bonnie & Clyde - Jay-Z featuring Beyoncé,Heaven - Los Lonely Boys,Feel Good Inc. - Gorillaz,(When You Gonna) Give It Up to Me - Sean Paul featuring Keyshia Cole,Thnks fr th Mmrs - Fall Out Boy,Live Your Life - T.I. featuring Rihanna,Birthday Sex - Jeremih,Like a G6 - Far East Movement featuring The Cataracs and Dev,The Time (Dirty Bit) - The Black Eyed Peas,Blow Me (One Last Kiss) - Pink,Applause - Lady Gaga,Break Free - Ariana Grande featuring Zedd,Talking Body - Tove Lo,Jumpman - Drake and Future,Fake Love - Drake,Whatever It Takes - Imagine Dragons,Please Me - Cardi B and Bruno Mars,My Oh My - Camila Cabello featuring DaBaby,You Broke Me First - Tate McRae,I Ain't Worried - OneRepublic,One Thing at a Time - Morgan Wallen,Ain't No Love in Oklahoma - Luke Combs
Come On Over Baby (All I Want Is You) - Christina Aguilera,Someone to Call My Lover - Janet Jackson,Oops (Oh My) - Tweet featuring Missy Elliott,Don't Mess with My Man - Nivea featuring Jagged Edge,It's My Life - No Doubt,Let Me Go - 3 Doors Down,Photograph - Nickelback,What I've Done - Linkin Park,Bust It Baby (Part 2) - Plies featuring Ne-Yo,Sober - Pink,Carry Out - Timbaland featuring Justin Timberlake,Coming Home - Diddy – Dirty Money featuring Skylar Grey,Good Time - Owl City and Carly Rae Jepsen,One More Night - Maroon 5,Bailando - Enrique Iglesias featuring Descemer Bueno and Gente de Zona,Jealous - Nick Jonas,"I Hate U, I Love U - Gnash featuring Olivia O'Brien",Don't Wanna Know - Maroon 5 featuring Kendrick Lamar,Ric Flair Drip - Offset and Metro Boomin,Money - Cardi B,Dynamite - BTS,Traitor - Olivia Rodrigo,Break My Soul - Beyoncé,"Superhero (Heroes & Villains) - Metro Boomin, Future and Chris Brown",Carnival - ¥$ (Kanye West and Ty Dolla Sign) featuring Rich the Kid and Playboi Carti
No More - Ruff Endz,With Arms Wide Open - Creed,A Moment Like This - Kelly Clarkson,So Gone - Monica,Pieces of Me - Ashlee Simpson,Holiday - Green Day,Because of You - Kelly Clarkson,Summer Love - Justin Timberlake,American Boy - Estelle featuring Kanye West,Womanizer - Britney Spears,Haven't Met You Yet - Michael Bublé,Hey Baby (Drop It to the Floor) - Pitbull featuring T-Pain,Give Your Heart a Break - Demi Lovato,Love Me - Lil Wayne featuring Drake and Future,Burn - Ellie Goulding,Time of Our Lives - Pitbull and Ne-Yo,Here - Alessia Cara,Look What You Made Me Do - Taylor Swift,I Fall Apart - Post Malone,You Need to Calm Down - Taylor Swift,Go Crazy - Chris Brown and Young Thug,Back in Blood - Pooh Shiesty featuring Lil Durk,Something in the Orange - Zach Bryan,Bad Habit - Steve Lacy,Houdini - Eminem
All the Small Things - Blink-182,Case of the Ex (Whatcha Gonna Do) - Mýa,Addictive - Truth Hurts featuring Rakim,"Air Force Ones - Nelly featuring Murphy Lee, Ali, and Kyjuan",Leave (Get Out) - JoJo,"Sugar, We're Goin Down - Fall Out Boy",Stickwitu - Pussycat Dolls,You - Lloyd featuring Lil Wayne,Got Money - Lil Wayne featuring T-Pain,Whatever You Like - T.I.,Club Can't Handle Me - Flo Rida featuring David Guetta,Only Girl (In the World) - Rihanna,Niggas in Paris - Jay-Z and Kanye West,My Songs Know What You Did in the Dark (Light Em Up) - Fall Out Boy,Wiggle - Jason Derulo featuring Snoop Dogg,Locked Away - R. City featuring Adam Levine,Same Old Love - Selena Gomez,Castle on the Hill - Ed Sheeran,Pray for Me - The Weeknd and Kendrick Lamar,Panini - Lil Nas X,High Fashion - Roddy Ricch featuring Mustard,I Hope - Gabby Barrett featuring Charlie Puth,Save Your Tears - The Weeknd and Ariana Grande,La Bebé - Yng Lvcas and Peso Pluma,Wanna Be - GloRilla and Megan Thee Stallion
The Way You Love Me - Faith Hill,All or Nothing - O-Town,Happy - Ashanti,"Never Leave You (Uh Oooh, Uh Oooh) - Lumidee",Milkshake - Kelis,Grind with Me - Pretty Ricky,I'm 'n Luv (wit a Stripper) - T-Pain featuring Mike Jones,Wait for You - Elliott Yamin,Our Song - Taylor Swift,Obsessed - Mariah Carey,Down - Jay Sean featuring Lil Wayne,6 Foot 7 Foot - Lil Wayne featuring Cory Gunz,The One That Got Away - Katy Perry,"Fuckin' Problems - ASAP Rocky featuring Drake, 2 Chainz and Kendrick Lamar",Rather Be - Clean Bandit featuring Jess Glynne,Somebody - Natalie La Rose featuring Jeremih,Controlla - Drake,Bad Things - Machine Gun Kelly and Camila Cabello,Back to You - Selena Gomez,Look Back at It - A Boogie wit da Hoodie,Laugh Now Cry Later - Drake featuring Lil Durk,Dynamite - BTS,Smokin out the Window - Silk Sonic (Bruno Mars and Anderson .Paak),Golden Hour - Jvke,Slow It Down - Benson Boone
I Turn to You - Christina Aguilera,Bootylicious - Destiny's Child,No Such Thing - John Mayer,Beautiful - Snoop Dogg featuring Pharrell and Charlie Wilson,Splash Waterfalls - Ludacris,Run It! - Chris Brown featuring Juelz Santana,My Humps - The Black Eyed Peas,Last Night - Diddy featuring Keyshia Cole,Damaged - Danity Kane,Mad - Ne-Yo,Bulletproof - La Roux,Just a Kiss - Lady Antebellum,Feel So Close - Calvin Harris,Beauty and a Beat - Justin Bieber featuring Nicki Minaj,Don't Tell 'Em - Jeremih featuring YG,"FourFiveSeconds - Rihanna, Kanye West and Paul McCartney",Like I'm Gonna Lose You - Meghan Trainor featuring John Legend,Paris - The Chainsmokers,Sicko Mode - Travis Scott,A Lot - 21 Savage,Woah - Lil Baby,Wockesha - Moneybagg Yo,Levitating - Dua Lipa,Religiously - Bailey Zimmerman,Redrum - 21 Savage
Never Let You Go - Third Eye Blind,I'm Like a Bird - Nelly Furtado,Just Like a Pill - Pink,Gossip Folks - Missy Elliott featuring Ludacris,Jesus Walks - Kanye West,Photograph - Nickelback,Where'd You Go - Fort Minor featuring Holly Brook and Jonah Matranga,Make It Rain - Fat Joe featuring Lil Wayne,A Milli - Lil Wayne,Good Girls Go Bad - Cobra Starship featuring Leighton Meester,Whatcha Say - Jason Derulo,Dirt Road Anthem - Jason Aldean,Someone like You - Adele,Same Love - Macklemore & Ryan Lewis featuring Mary Lambert,Show Me - Kid Ink featuring Chris Brown,Centuries - Fall Out Boy,One Call Away - Charlie Puth,Side to Side - Ariana Grande featuring Nicki Minaj,Walk It Talk It - Migos featuring Drake,Me! - Taylor Swift featuring Brendon Urie,Death Bed - Powfu featuring Beabadoobee,You Right - Doja Cat and the Weeknd,In a Minute - Lil Baby,Spin Bout U - Drake and 21 Savage,Houdini - Dua Lipa
I Need You - LeAnn Rimes,Kryptonite - 3 Doors Down,"Down 4 U - Ja Rule featuring Ashanti, Charli Baltimore and Vita",Miss Independent - Kelly Clarkson,Locked Up - Akon featuring Styles P,Lonely - Akon,Yo (Excuse Me Miss) - Chris Brown,Make Me Better - Fabolous featuring Ne-Yo,Sorry - Buckcherry,Love Lockdown - Kanye West,Baby - Justin Bieber featuring Ludacris,Dynamite - Taio Cruz,Scream - Usher,Sweet Nothing - Calvin Harris featuring Florence Welch,Wrecking Ball - Miley Cyrus,My Way - Fetty Wap featuring Monty,Let It Go - James Bay,Rockabye - Clean Bandit featuring Sean Paul and Anne-Marie,Gucci Gang - Lil Pump,Mia - Bad Bunny featuring Drake,Señorita - Shawn Mendes and Camila Cabello,"Beat Box 2"" / ""Beat Box 3 - SpotemGottem featuring Pooh Shiesty / SpotemGottem featuring DaBaby",Moscow Mule - Bad Bunny,Cupid - Fifty Fifty,Yeah Glo! - GloRilla
Thank God I Found You - Mariah Carey featuring Joe and 98 Degrees,Fiesta - R. Kelly featuring Jay-Z,Can't Get You Out of My Head - Kylie Minogue,Calling All Angels - Train,Stand Up - Ludacris featuring Shawnna,Collide - Howie Day,Walk Away - Kelly Clarkson,Ice Box - Omarion,Independent - Webbie featuring Lil Boosie and Lil Phat,So What - Pink,Whataya Want from Me - Adam Lambert,No Hands - Waka Flocka Flame featuring Wale and Roscoe Dash,Rack City - Tyga,Summertime Sadness - Lana Del Rey and Cédric Gervais,Not a Bad Thing - Justin Timberlake,Take Your Time - Sam Hunt,No - Meghan Trainor,Feel It Still - Portugal. The Man,Him & I - G-Eazy and Halsey,Pop Out - Polo G featuring Lil Tjay,Highest in the Room - Travis Scott,Laugh Now Cry Later - Drake featuring Lil Durk,You Right - Doja Cat and the Weeknd,Search & Rescue - Drake,Rich Baby Daddy - Drake featuring Sexyy Red and SZA
Let's Get Married - Jagged Edge,When It's Over - Sugar Ray,Superman (It's Not Easy) - Five for Fighting,Damn! - YoungBloodZ featuring Lil Jon,Suga Suga - Baby Bash featuring Frankie J,Wake Me Up When September Ends - Green Day,Laffy Taffy - D4L,Lips of an Angel - Hinder,Can't Believe It - T-Pain featuring Lil Wayne,Hotel Room Service - Pitbull,Mine - Taylor Swift,I Wanna Go - Britney Spears,Domino - Jessie J,Home - Phillip Phillips,Roar - Katy Perry,Animals - Maroon 5,Never Forget You - Zara Larsson and MNEK,Let Me Love You - DJ Snake featuring Justin Bieber,In My Blood - Shawn Mendes,Beautiful Crazy - Luke Combs,Bad Guy - Billie Eilish,Need to Know - Doja Cat,She Had Me at Heads Carolina - Cole Swindell,Barbie World - Nicki Minaj and Ice Spice with Aqua,What Was I Made For? - Billie Eilish
My Love Is Your Love - Whitney Houston,Jaded - Aerosmith,Cleanin' Out My Closet - Eminem,This Is the Night - Clay Aiken,All Falls Down - Kanye West featuring Syleena Johnson,Slow Down - Bobby Valentino,What You Know - T.I.,Waiting on the World to Change - John Mayer,Like You'll Never See Me Again - Alicia Keys,"Crack a Bottle - Eminem, Dr. Dre and 50 Cent",Only Girl (In the World) - Rihanna,"I'm on One - DJ Khaled featuring Drake, Rick Ross and Lil Wayne",Gangnam Style - Psy,It's Time - Imagine Dragons,Ain't It Fun - Paramore,I Don't Fuck with You - Big Sean featuring E-40,Let Me Love You - DJ Snake featuring Justin Bieber,Sorry Not Sorry - Demi Lovato,All the Stars - Kendrick Lamar and SZA,Thotiana - Blueface,Mood - 24kGoldn featuring Iann Dior,Wants and Needs - Drake featuring Lil Baby,Vegas - Doja Cat,Next Thing You Know - Jordan Davis,End of Beginning - Djo
Then the Morning Comes - Smash Mouth,Promise - Jagged Edge,Halfcrazy - Musiq Soulchild,Your Body Is a Wonderland - John Mayer,Toxic - Britney Spears,Over and Over - Nelly featuring Tim McGraw,Dirty Little Secret - The All-American Rejects,Lost Without U - Robin Thicke,Teardrops on My Guitar - Taylor Swift,If I Were a Boy - Beyoncé,Live Like We're Dying - Kris Allen,You Make Me Feel... - Cobra Starship featuring Sabi,International Love - Pitbull featuring Chris Brown,Power Trip - J. Cole featuring Miguel,The Man - Aloe Blacc,Bitch Better Have My Money - Rihanna,Don't Mind - Kent Jones,Bank Account - 21 Savage,Stir Fry - Migos,Lucid Dreams - Juice Wrld,Rain on Me - Lady Gaga and Ariana Grande,Way 2 Sexy - Drake featuring Future and Young Thug,Pushin P - Gunna and Future featuring Young Thug,Escapism - Raye featuring 070 Shake,Lunch - Billie Eilish
Blue (Da Ba Dee) - Eiffel 65,Missing You - Case,"Lights, Camera, Action! - Mr. Cheeks",Headstrong - Trapt,Salt Shaker - Ying Yang Twins featuring Lil Jon & the East Side Boyz,Some Cut - Trillville featuring Cutty,Savin' Me - Nickelback,I'm a Flirt - R. Kelly featuring T.I. and T-Pain,When I Grow Up - Pussycat Dolls,Turnin Me On - Keri Hilson featuring Lil Wayne,Hard - Rihanna featuring Jeezy,Yeah 3x - Chris Brown,Home - Phillip Phillips,Girl on Fire - Alicia Keys featuring Nicki Minaj,This Is How We Roll - Florida Georgia Line featuring Luke Bryan,"Flex (Ooh, Ooh, Ooh) - Rich Homie Quan",H.O.L.Y. - Florida Georgia Line,Can't Stop the Feeling! - Justin Timberlake,Too Good at Goodbyes - Sam Smith,Mo Bamba - Sheck Wes,For the Night - Pop Smoke featuring Lil Baby and DaBaby,Telepatía - Kali Uchis,Buy Dirt - Jordan Davis and Luke Bryan,Un x100to - Grupo Frontera and Bad Bunny,Never Lose Me - Flo Milli
Desert Rose - Sting featuring Cheb Mami,Differences - Ginuwine,Still Fly - Big Tymers,In Those Jeans - Ginuwine,With You - Jessica Simpson,Get It Poppin' - Fat Joe featuring Nelly,Don't Forget About Us - Mariah Carey,If Everyone Cared - Nickelback,Sexual Eruption - Snoop Dogg,I Hate This Part - Pussycat Dolls,Young Forever - Jay-Z featuring Mr Hudson,Moment 4 Life - Nicki Minaj featuring Drake,Without You - David Guetta featuring Usher,Heart Attack - Demi Lovato,Classic - MKTO,Nasty Freestyle - T-Wayne,We Don't Talk Anymore - Charlie Puth featuring Selena Gomez,Mi Gente - J Balvin and Willy William featuring Beyoncé,Love - Kendrick Lamar featuring Zacari,Beautiful People - Ed Sheeran featuring Khalid,Ritmo (Bad Boys for Life) - Black Eyed Peas and J Balvin,Whoopty - CJ,I Hate U - SZA,Until I Found You - Stephen Sanchez,Lies Lies Lies - Morgan Wallen
The Real Slim Shady - Eminem,This I Promise You - NSYNC,A Woman's Worth - Alicia Keys,Stand Up - Ludacris featuring Shawnna,Meant to Live - Switchfoot,Play - David Banner,Sexy Love - Ne-Yo,Get It Shawty - Lloyd,What You Got - Colby O'Donis featuring Akon,Gotta Be Somebody - Nickelback,Blah Blah Blah - Kesha featuring 3OH!3,I Need a Doctor - Dr. Dre featuring Eminem and Skylar Grey,Ass Back Home - Gym Class Heroes featuring Neon Hitch,Love Somebody - Maroon 5,A Sky Full of Stars - Coldplay,"Only - Nicki Minaj featuring Drake, Lil Wayne and Chris Brown",Into You - Ariana Grande,Thunder - Imagine Dragons,This Is America - Childish Gambino,"Wake Up in the Sky - Gucci Mane, Bruno Mars and Kodak Black",Heart on Ice - Rod Wave,Lemonade - Internet Money and Gunna featuring Don Toliver and Nav,Boyfriend - Dove Cameron,Shirt - SZA,"Type Shit - Future, Metro Boomin, Travis Scott, and Playboi Carti"
Most Girls - Pink,Izzo (H.O.V.A.) - Jay-Z,7 Days - Craig David,The Remedy (I Won't Worry) - Jason Mraz,"I Like That - Houston featuring Chingy, Nate Dogg and I-20",Soul Survivor - Young Jeezy featuring Akon,U and Dat - E-40 featuring T-Pain and Kandi Girl,Face Down - The Red Jumpsuit Apparatus,It's Not My Time - 3 Doors Down,Please Don't Leave Me - Pink,Bottoms Up - Trey Songz featuring Nicki Minaj,Just a Dream - Nelly,Wanted - Hunter Hayes,I Will Wait - Mumford & Sons,Don't - Ed Sheeran,Elastic Heart - Sia,Gold - Kiiara,T-shirt - Migos,Nonstop - Drake,Whiskey Glasses - Morgan Wallen,Nobody but You - Blake Shelton and Gwen Stefani,Good Days - SZA,Glimpse of Us - Joji,Paint the Town Red - Doja Cat,Gata Only - FloyyMenor and Cris MJ
Wifey - Next,Superwoman Pt. II - Lil' Mo featuring Fabolous,Hey Ma - Cam'ron featuring Juelz Santana and Freekey Zekey,Why Don't You & I - Santana featuring Alex Band,Sorry 2004 - Ruben Studdard,Pimpin' All Over the World - Ludacris featuring Bobby Valentino,Far Away - Nickelback,The Way I Live - Baby Boy da Prince,Better in Time - Leona Lewis,Paparazzi - Lady Gaga,Do You Remember - Jay Sean featuring Sean Paul and Lil Jon,Motivation - Kelly Rowland featuring Lil Wayne,Drunk on You - Luke Bryan,Try - Pink,Na Na - Trey Songz,Cool for the Summer - Demi Lovato,Exchange - Bryson Tiller,Rake It Up - Yo Gotti featuring Nicki Minaj,Heaven - Kane Brown,God's Country - Blake Shelton,Trampoline - Shaed,Starting Over - Chris Stapleton,Surface Pressure - Jessica Darrow,Made You Look - Meghan Trainor,Hot to Go! - Chappell Roan
Wonderful - Everclear,Crazy for This Girl - Evan and Jaron,Work It - Missy Elliott,Excuse Me Miss - Jay-Z,My Happy Ending - Avril Lavigne,My Boo - Usher and Alicia Keys,What's Left of Me - Nick Lachey,Shortie Like Mine - Bow Wow featuring Chris Brown and Johntá Austin,Crank That (Soulja Boy) - Soulja Boy Tell 'Em,Beautiful - Akon featuring Colby O'Donis and Kardinal Offishall,All the Right Moves - OneRepublic,Stereo Love - Edward Maya featuring Vika Jigulina,No Lie - 2 Chainz featuring Drake,Wagon Wheel - Darius Rucker,Hot Boy - Bobby Shmurda,Renegades - X Ambassadors,679 - Fetty Wap featuring Remy Boyz,Mercy - Shawn Mendes,Bodak Yellow - Cardi B,Be Alright - Dean Lewis,Come & Go - Juice Wrld and Marshmello,Body - Megan Thee Stallion,Fall in Love - Bailey Zimmerman,Wait in the Truck - Hardy featuring Lainey Wilson,All I Want for Christmas Is You - Mariah Carey
Oops!... I Did It Again - Britney Spears,Nobody Wants to Be Lonely - Ricky Martin and Christina Aguilera,Move Bitch - Ludacris featuring Mystikal and I-20,Jenny from the Block - Jennifer Lopez featuring Jadakiss and Styles P,On Fire - Lloyd Banks,"Sugar (Gimme Some) - Trick Daddy featuring Ludacris, Lil' Kim and Cee Lo Green",So What - Field Mob featuring Ciara,It Ends Tonight - The All-American Rejects,Shadow of the Day - Linkin Park,Viva la Vida - Coldplay,According to You - Orianthi,Jar of Hearts - Christina Perri,Want U Back - Cher Lloyd,Gangnam Style - Psy,"Hold On, We're Going Home - Drake featuring Majid Jordan",I Don't Mind - Usher featuring Juicy J,Oui - Jeremih,Tunnel Vision - Kodak Black,Freaky Friday - Lil Dicky featuring Chris Brown,Pure Water - Mustard and Migos,Truth Hurts - Lizzo,Willow - Taylor Swift,Love Nwantiti (Ah Ah Ah) - CKay,All I Want for Christmas Is You - Mariah Carey,Get It Sexyy - Sexyy Red
I Wanna Love You Forever - Jessica Simpson,I Just Wanna Love U (Give It 2 Me) - Jay-Z,Can't Fight the Moonlight - LeAnn Rimes,Are You Happy Now? - Michelle Branch,Roses - OutKast,Karma - Alicia Keys,Do It to It - Cherish featuring Sean Paul of the YoungBloodZ,A Bay Bay - Hurricane Chris,"Sweetest Girl (Dollar Bill) - Wyclef Jean featuring Akon, Lil Wayne and Niia",Right Now (Na Na Na) - Akon,My Chick Bad - Ludacris featuring Nicki Minaj,Roll Up - Wiz Khalifa,Don't Wake Me Up - Chris Brown,I Need Your Love - Calvin Harris featuring Ellie Goulding,Sing - Ed Sheeran,Love Me Harder - Ariana Grande and The Weeknd,Hands to Myself - Selena Gomez,Rockstar - Post Malone featuring 21 Savage,Gummo - 6ix9ine,The Git Up - Blanco Brown,If the World Was Ending - JP Saxe featuring Julia Michaels,Bang! - AJR,Super Freaky Girl - Nicki Minaj,Everything I Love - Morgan Wallen,Made for Me - Muni Long
Give Me Just One Night (Una Noche) - 98 Degrees,One Minute Man - Missy Elliott featuring Ludacris,Escape - Enrique Iglesias,Forever and for Always - Shania Twain,Walked Outta Heaven - Jagged Edge,Speed of Sound - Coldplay,Black Horse and the Cherry Tree - KT Tunstall,Because of You - Ne-Yo,Miss Independent - Ne-Yo,Battlefield - Jordin Sparks,You Belong with Me - Taylor Swift,Sexy and I Know It - LMFAO,Dance (A$$) - Big Sean featuring Nicki Minaj,Die Young - Kesha,Radioactive - Imagine Dragons,Wildest Dreams - Taylor Swift,2 Phones - Kevin Gates,In Case You Didn't Know - Brett Young,Plug Walk - Rich the Kid,"Taki Taki - DJ Snake featuring Selena Gomez, Ozuna and Cardi B",We Paid - Lil Baby and 42 Dugg,Better Together - Luke Combs,Hrs and Hrs - Muni Long,Chemical - Post Malone,Vampire - Olivia Rodrigo
Take a Picture - Filter,Danger (Been So Long) - Mystikal featuring Nivea,More Than A Woman - Aaliyah,I Can - Nas,Lose My Breath - Destiny's Child,I Don't Want to Be - Gavin DeGraw,There It Go (The Whistle Song) - Juelz Santana,I Tried - Bone Thugs-n-Harmony featuring Akon,Fall for You - Secondhand Serenade,Sugar - Flo Rida featuring Wynter,Meet Me Halfway - The Black Eyed Peas,Rocketeer - Far East Movement featuring Ryan Tedder,Springsteen - Eric Church,Some Nights - Fun,My Hitta - YG featuring Jeezy and Rich Homie Quan,Stay with Me - Sam Smith,Starboy - The Weeknd featuring Daft Punk,Heathens - Twenty One Pilots,Wait - Maroon 5,Close to Me - Ellie Goulding and Diplo featuring Swae Lee,Yummy - Justin Bieber,You're Mines Still - Yung Bleu featuring Drake,Sand in My Boots - Morgan Wallen,Heart Like a Truck - Lainey Wilson,Whatever She Wants - Bryson Tiller
Otherside - Red Hot Chili Peppers,Only Time - Enya,Hella Good - No Doubt,Underneath It All - No Doubt featuring Lady Saw,My Band - D12,Mockingbird - Eminem,Shoulder Lean - Young Dro featuring T.I.,Welcome To The Black Parade - My Chemical Romance,In the Ayer - Flo Rida featuring will.i.am,Miss Independent - Ne-Yo,Take It Off - Kesha,All of the Lights - Kanye West,Brokenhearted - Karmin,Bad - Wale featuring Tiara Thomas or Rihanna,Cool Kids - Echosmith,You Know You Like It - DJ Snake and AlunaGeorge,For Free - DJ Khaled featuring Drake,Now or Never - Halsey,Be Careful - Cardi B,Envy Me - Calboy,One Man Band - Old Dominion,Every Chance I Get - DJ Khaled featuring Lil Baby and Lil Durk,Mamiii - Becky G and Karol G,"Going, Going, Gone - Luke Combs",Rockin' Around the Christmas Tree - Brenda Lee
Big Pimpin' - Jay-Z featuring UGK,I Do!! - Toya,I Love You - Faith Evans,If You're Not the One - Daniel Bedingfield,I'm Still in Love with You - Sean Paul featuring Sasha,La Tortura - Shakira featuring Alejandro Sanz,Unpredictable - Jamie Foxx featuring Ludacris,Shawty - Plies featuring T-Pain,Say - John Mayer,Fireflies - Owl City,Over - Drake,Hold It Against Me - Britney Spears,Not Over You - Gavin DeGraw,Boys 'Round Here - Blake Shelton featuring Pistol Annies and Friends,Hey Brother - Avicii,Uma Thurman - Fall Out Boy,Never Be Like You - Flume featuring Kai,Caroline - Aminé,Wolves - Selena Gomez and Marshmello,You Say - Lauren Daigle,Got What I Got - Jason Aldean,Essence - Wizkid featuring Justin Bieber and Tems,Knife Talk - Drake featuring 21 Savage and Project Pat,Rockin' Around the Christmas Tree - Brenda Lee,Pretty Little Poison - Warren Zeiders
